Theme Name ,Song Name,Start Timestamp (mm:ss),End Timestamp (mm:ss),Time Start (sec),Time End (sec),Length (sec),Song Number,Total Start Seconds,Song URL,Lyrics
On Your Side,The Election of 1800,0:00:50,0:01:04,50,64,15,42,7646,music/The_Election_of_1800.mp3,
"Talk Less, Smile More",The Election of 1800,0:01:05,0:01:18,65,78,14,42,7661,music/The_Election_of_1800.mp3,
Quiet Uptown,The Election of 1800,0:01:32,0:01:48,92,108,17,42,7688,music/The_Election_of_1800.mp3,
"Aaron Burr, Sir",The Election of 1800,0:02:01,0:02:20,121,140,20,42,7717,music/The_Election_of_1800.mp3,
On Your Side,The Election of 1800,0:03:06,0:03:57,186,237,52,42,7782,music/The_Election_of_1800.mp3,
How Does,Your Obedient Servant,0:00:00,0:00:17,0,17,18,43,7833,music/Your_Obedient_Servant.mp3,
The Room Where It Happens,Your Obedient Servant,0:00:18,0:00:31,18,31,14,43,7851,music/Your_Obedient_Servant.mp3,
Quiet Uptown,Best of Wives and Best of Women,0:00:00,0:00:47,0,47,48,44,7983,music/Best_of_Wives_and_Best_of_Women.mp3,
Running Out Of Time,Best of Wives and Best of Women,0:00:14,0:00:23,14,23,10,44,7997,music/Best_of_Wives_and_Best_of_Women.mp3,
That Would Be Enough,Best of Wives and Best of Women,0:00:24,0:00:27,24,27,4,44,8007,music/Best_of_Wives_and_Best_of_Women.mp3,
Duel Commandments,The World Was Wide Enough,0:00:00,0:01:41,0,101,102,45,8031,music/The_World_Was_Wide_Enough.mp3,
Imagine Death,The World Was Wide Enough,0:01:42,0:02:30,102,150,49,45,8133,music/The_World_Was_Wide_Enough.mp3,
My Shot,The World Was Wide Enough,0:02:04,0:02:36,124,156,33,45,8155,music/The_World_Was_Wide_Enough.mp3,
One Last Time,The World Was Wide Enough,0:02:46,0:02:50,166,170,5,45,8197,music/The_World_Was_Wide_Enough.mp3,
The Schuyler Sisters,The World Was Wide Enough,0:02:53,0:03:03,173,183,11,45,8204,music/The_World_Was_Wide_Enough.mp3,
Story of Tonight,The World Was Wide Enough,0:03:04,0:03:07,184,187,4,45,8215,music/The_World_Was_Wide_Enough.mp3,
The Schuyler Sisters,The World Was Wide Enough,0:03:48,0:03:58,228,238,11,45,8259,music/The_World_Was_Wide_Enough.mp3,
Wait For It,The World Was Wide Enough,0:03:59,0:04:25,239,265,27,45,8270,music/The_World_Was_Wide_Enough.mp3,
"Who Lives, Who Dies","Who Lives, Who Dies, Who Tells Your Story",0:00:00,0:01:00,0,60,61,46,8333,music/Who_Lives_Who_Dies_Who_Tells_Your_Story.mp3,
The Schuyler Sisters,"Who Lives, Who Dies, Who Tells Your Story",0:01:01,0:01:17,61,77,17,46,8394,music/Who_Lives_Who_Dies_Who_Tells_Your_Story.mp3,
The Narrative,"Who Lives, Who Dies, Who Tells Your Story",0:01:02,0:01:15,62,75,14,46,8395,music/Who_Lives_Who_Dies_Who_Tells_Your_Story.mp3,
Running Out Of Time,"Who Lives, Who Dies, Who Tells Your Story",0:01:21,0:01:27,81,87,7,46,8414,music/Who_Lives_Who_Dies_Who_Tells_Your_Story.mp3,
The Schuyler Sisters,"Who Lives, Who Dies, Who Tells Your Story",0:01:28,0:01:33,88,93,6,46,8421,music/Who_Lives_Who_Dies_Who_Tells_Your_Story.mp3,
"Who Lives, Who Dies","Who Lives, Who Dies, Who Tells Your Story",0:01:53,0:02:13,113,133,21,46,8446,music/Who_Lives_Who_Dies_Who_Tells_Your_Story.mp3,
"Who Lives, Who Dies","Who Lives, Who Dies, Who Tells Your Story",0:02:42,0:03:37,162,217,56,46,8495,music/Who_Lives_Who_Dies_Who_Tells_Your_Story.mp3,
